+----------------------------------+  
|                                  |  
|     CCSIO Benchmark, 1.5.4.0     |  
|                                  |  
+----------------------------------+  
                                
Recorded                        2025/06/23 23:43:13
Platform                        2.6.1.7601.-.-.-.1.1.1 / 64 bit
MD5(MachineGuid)                daf7fe8fc0c96a65f2fc11327a14fd8b
                                
Volume.file_system              FAT32
Volume.type                     Simple
                                
Device.type                     HDD
Device.vendor                   PSS_LAB
Device.model                    PHANTOM
Device.bus                      6 / 6
Device.controller               Demo StorPort Virtual Adapter
                                
Test.path                       F:\
Test.remote                     No
Test.file.size                  3221225472
Test.io.buffer_sizes            1024 2048 4096 8192 16384 32768 65536 131072 262144 524288 1048576 2097152 4194304 8388608 16777216 33554432 67108864 
Test.io.buffer_counts           1 2 4 8 12 16 24 32 
Test.io.memory_cap              268435456
Test.duration                   1000
Test.order                      3
Test.cache_trim                 2
                                
Test.read.modes                 0x13
Test.read.fill                  random
Test.write.modes                0x03
Test.write.fill                 random
Test.write.flush                No
                                
Read.tests                      375 / 375
Read.tests.failed               -
Read.best.speed.binary          14292.3 MBps
Read.best.speed.decimal         14986.5 MBps
Read.best.io                    4 x 524288 bytes, raw seq
Read.99_perc                    1
Read.95_perc                    2
                                
Write.tests                     250 / 250
Write.tests.failed              -
Write.best.speed.binary         10290.8 MBps
Write.best.speed.decimal        10790.7 MBps
Write.best.io                   4 x 262144 bytes, raw    
Write.99_perc                   1
Write.95_perc                   1
                                
--- Read measurements ---       
                                
 169  |   1 x    131072  |  raw      |     4213.8 MBps     4418.4 MBps  |         
 170  |   1 x    131072  |  raw seq  |     4385.8 MBps     4598.9 MBps  |         
 171  |   1 x    131072  |  buf seq  |     2259.4 MBps     2369.2 MBps  |         
 172  |   2 x    131072  |  raw      |     5699.4 MBps     5976.2 MBps  |         
 173  |   2 x    131072  |  raw seq  |     5693.2 MBps     5969.8 MBps  |         
 174  |   2 x    131072  |  buf seq  |     2276.7 MBps     2387.2 MBps  |         
 175  |   4 x    131072  |  raw      |     4448.8 MBps     4664.9 MBps  |         
 176  |   4 x    131072  |  raw seq  |     5503.5 MBps     5770.9 MBps  |         
 177  |   4 x    131072  |  buf seq  |     2252.0 MBps     2361.3 MBps  |         
 178  |   8 x    131072  |  raw      |     4749.0 MBps     4979.7 MBps  |         
 179  |   8 x    131072  |  raw seq  |     8156.6 MBps     8552.8 MBps  |         
 180  |   8 x    131072  |  buf seq  |     2194.0 MBps     2300.6 MBps  |         
 181  |  12 x    131072  |  raw      |     6294.7 MBps     6600.4 MBps  |         
 182  |  12 x    131072  |  raw seq  |     9311.7 MBps     9764.0 MBps  |         
 183  |  12 x    131072  |  buf seq  |     2138.6 MBps     2242.5 MBps  |         
 184  |  16 x    131072  |  raw      |     7513.0 MBps     7878.0 MBps  |         
 185  |  16 x    131072  |  raw seq  |     9816.6 MBps    10293.4 MBps  |  +      
 186  |  16 x    131072  |  buf seq  |     2066.0 MBps     2166.4 MBps  |         
 187  |  24 x    131072  |  raw      |     8137.6 MBps     8532.9 MBps  |         
 188  |  24 x    131072  |  raw seq  |    10533.8 MBps    11045.5 MBps  |  +      
 189  |  24 x    131072  |  buf seq  |     2009.1 MBps     2106.7 MBps  |         
 190  |  32 x    131072  |  raw      |     6349.7 MBps     6658.2 MBps  |         
 191  |  32 x    131072  |  raw seq  |     9319.4 MBps     9772.1 MBps  |         
 192  |  32 x    131072  |  buf seq  |     2028.8 MBps     2127.4 MBps  |         
 193  |   1 x    262144  |  raw      |     5970.8 MBps     6260.9 MBps  |         
 194  |   1 x    262144  |  raw seq  |     5958.7 MBps     6248.2 MBps  |         
 195  |   1 x    262144  |  buf seq  |     2707.7 MBps     2839.2 MBps  |         
 196  |   2 x    262144  |  raw      |     9502.6 MBps     9964.2 MBps  |         
 197  |   2 x    262144  |  raw seq  |     9619.5 MBps    10086.7 MBps  |         
 198  |   2 x    262144  |  buf seq  |     2637.7 MBps     2765.9 MBps  |         
 199  |   4 x    262144  |  raw      |    11128.3 MBps    11668.9 MBps  |  +      
 200  |   4 x    262144  |  raw seq  |    11708.6 MBps    12277.3 MBps  |  +      
 201  |   4 x    262144  |  buf seq  |     2549.3 MBps     2673.1 MBps  |         
 202  |   8 x    262144  |  raw      |    10740.4 MBps    11262.2 MBps  |         
 203  |   8 x    262144  |  raw seq  |    11410.9 MBps    11965.2 MBps  |         
 204  |   8 x    262144  |  buf seq  |     2410.3 MBps     2527.4 MBps  |         
 205  |  12 x    262144  |  raw      |     8959.4 MBps     9394.6 MBps  |         
 206  |  12 x    262144  |  raw seq  |    10714.6 MBps    11235.0 MBps  |         
 207  |  12 x    262144  |  buf seq  |     2325.9 MBps     2438.9 MBps  |         
 208  |  16 x    262144  |  raw      |     8027.0 MBps     8416.9 MBps  |         
 209  |  16 x    262144  |  raw seq  |     9475.9 MBps     9936.2 MBps  |         
 210  |  16 x    262144  |  buf seq  |     2170.1 MBps     2275.5 MBps  |         
 211  |  24 x    262144  |  raw      |     6987.0 MBps     7326.4 MBps  |         
 212  |  24 x    262144  |  raw seq  |     8074.5 MBps     8466.8 MBps  |         
 213  |  24 x    262144  |  buf seq  |     2245.6 MBps     2354.7 MBps  |         
 214  |  32 x    262144  |  raw      |     6901.8 MBps     7237.1 MBps  |         
 215  |  32 x    262144  |  raw seq  |     7996.2 MBps     8384.6 MBps  |         
 216  |  32 x    262144  |  buf seq  |     2144.1 MBps     2248.3 MBps  |         
 217  |   1 x    524288  |  raw      |     7875.1 MBps     8257.6 MBps  |         
 218  |   1 x    524288  |  raw seq  |     7964.5 MBps     8351.3 MBps  |         
 219  |   1 x    524288  |  buf seq  |     2565.6 MBps     2690.2 MBps  |         
 220  |   2 x    524288  |  raw      |     9149.8 MBps     9594.3 MBps  |         
 221  |   2 x    524288  |  raw seq  |     9221.6 MBps     9669.5 MBps  |         
 222  |   2 x    524288  |  buf seq  |     2637.2 MBps     2765.3 MBps  |         
 223  |   4 x    524288  |  raw      |    13856.8 MBps    14529.9 MBps  |  + *    
 224  |   4 x    524288  |  raw seq  |    14292.3 MBps    14986.5 MBps  |  + * *  
 225  |   4 x    524288  |  buf seq  |     2498.7 MBps     2620.1 MBps  |         
 226  |   8 x    524288  |  raw      |    10226.2 MBps    10722.9 MBps  |         
 227  |   8 x    524288  |  raw seq  |    11368.7 MBps    11920.9 MBps  |         
 228  |   8 x    524288  |  buf seq  |     2372.4 MBps     2487.6 MBps  |         
 229  |  12 x    524288  |  raw      |     7280.2 MBps     7633.9 MBps  |         
 230  |  12 x    524288  |  raw seq  |     7984.8 MBps     8372.6 MBps  |         
 231  |  12 x    524288  |  buf seq  |     2300.6 MBps     2412.4 MBps  |         
 232  |  16 x    524288  |  raw      |     7768.5 MBps     8145.9 MBps  |         
 233  |  16 x    524288  |  raw seq  |     8148.2 MBps     8544.0 MBps  |         
 234  |  16 x    524288  |  buf seq  |     2324.3 MBps     2437.2 MBps  |         
 235  |  24 x    524288  |  raw      |     6952.3 MBps     7290.0 MBps  |         
 236  |  24 x    524288  |  raw seq  |     6935.0 MBps     7271.9 MBps  |         
 237  |  24 x    524288  |  buf seq  |     2293.5 MBps     2404.9 MBps  |         
 238  |  32 x    524288  |  raw      |     6780.9 MBps     7110.2 MBps  |         
 239  |  32 x    524288  |  raw seq  |     6920.6 MBps     7256.7 MBps  |         
 240  |  32 x    524288  |  buf seq  |     2403.6 MBps     2520.4 MBps  |         
 241  |   1 x   1048576  |  raw      |     8296.6 MBps     8699.6 MBps  |         
 242  |   1 x   1048576  |  raw seq  |     8330.7 MBps     8735.4 MBps  |         
 243  |   1 x   1048576  |  buf seq  |     2550.3 MBps     2674.1 MBps  |         
 244  |   2 x   1048576  |  raw      |    11871.5 MBps    12448.2 MBps  |         
 245  |   2 x   1048576  |  raw seq  |    11780.4 MBps    12352.6 MBps  |         
 246  |   2 x   1048576  |  buf seq  |     2462.7 MBps     2582.3 MBps  |         
 247  |   4 x   1048576  |  raw      |    12285.8 MBps    12882.5 MBps  |         
 248  |   4 x   1048576  |  raw seq  |    11435.7 MBps    11991.2 MBps  |         
 249  |   4 x   1048576  |  buf seq  |     2346.2 MBps     2460.2 MBps  |         
 250  |   8 x   1048576  |  raw      |     7286.4 MBps     7640.4 MBps  |         
 251  |   8 x   1048576  |  raw seq  |     7786.4 MBps     8164.7 MBps  |         
 252  |   8 x   1048576  |  buf seq  |     2376.4 MBps     2491.8 MBps  |         
 253  |  12 x   1048576  |  raw      |     7072.2 MBps     7415.7 MBps  |         
 254  |  12 x   1048576  |  raw seq  |     6985.2 MBps     7324.5 MBps  |         
 255  |  12 x   1048576  |  buf seq  |     2364.7 MBps     2479.5 MBps  |         
 256  |  16 x   1048576  |  raw      |     6217.4 MBps     6519.4 MBps  |         
 257  |  16 x   1048576  |  raw seq  |     6227.2 MBps     6529.7 MBps  |         
 258  |  16 x   1048576  |  buf seq  |     2334.4 MBps     2447.7 MBps  |         
 259  |  24 x   1048576  |  raw      |     6128.7 MBps     6426.4 MBps  |         
 260  |  24 x   1048576  |  raw seq  |     6172.6 MBps     6472.4 MBps  |         
 261  |  24 x   1048576  |  buf seq  |     2377.8 MBps     2493.3 MBps  |         
 262  |  32 x   1048576  |  raw      |     6125.9 MBps     6423.5 MBps  |         
 263  |  32 x   1048576  |  raw seq  |     6179.1 MBps     6479.3 MBps  |         
 264  |  32 x   1048576  |  buf seq  |     2377.8 MBps     2493.3 MBps  |         
 265  |   1 x   2097152  |  raw      |     9090.7 MBps     9532.3 MBps  |         
 266  |   1 x   2097152  |  raw seq  |     9116.7 MBps     9559.6 MBps  |         
 267  |   1 x   2097152  |  buf seq  |     2622.6 MBps     2749.9 MBps  |         
 268  |   2 x   2097152  |  raw      |     8946.6 MBps     9381.1 MBps  |         
 269  |   2 x   2097152  |  raw seq  |     8857.2 MBps     9287.4 MBps  |         
 270  |   2 x   2097152  |  buf seq  |     2508.7 MBps     2630.6 MBps  |         
 271  |   4 x   2097152  |  raw      |     6836.7 MBps     7168.8 MBps  |         
 272  |   4 x   2097152  |  raw seq  |     7541.8 MBps     7908.1 MBps  |         
 273  |   4 x   2097152  |  buf seq  |     2480.7 MBps     2601.2 MBps  |         
 274  |   8 x   2097152  |  raw      |     6429.7 MBps     6742.0 MBps  |         
 275  |   8 x   2097152  |  raw seq  |     6974.8 MBps     7313.6 MBps  |         
 276  |   8 x   2097152  |  buf seq  |     2464.4 MBps     2584.1 MBps  |         
 277  |  12 x   2097152  |  raw      |     6687.1 MBps     7011.9 MBps  |         
 278  |  12 x   2097152  |  raw seq  |     6811.6 MBps     7142.5 MBps  |         
 279  |  12 x   2097152  |  buf seq  |     2492.9 MBps     2614.0 MBps  |         
 280  |  16 x   2097152  |  raw      |     6752.5 MBps     7080.5 MBps  |         
 281  |  16 x   2097152  |  raw seq  |     6467.1 MBps     6781.2 MBps  |         
 282  |  16 x   2097152  |  buf seq  |     2472.3 MBps     2592.4 MBps  |         
 283  |  24 x   2097152  |  raw      |     6234.7 MBps     6537.6 MBps  |         
 284  |  24 x   2097152  |  raw seq  |     6194.7 MBps     6495.7 MBps  |         
 285  |  24 x   2097152  |  buf seq  |     2471.6 MBps     2591.6 MBps  |         
